word	freq
연기자	2
탑승	2
플랫폼화	2
창립자	2
반려동물등록	2
알알샵	2
업무플랫폼	2
확정처리	2
정산관리	2
번출구	2
입증	2
플랫폼사업자	2
교수들	2
대지조사	2
거래건수	2
시험하고	2
미리알림	2
최소한	2
등록하고	2
누적투자금	2
공동운영	2
스마트하고	2
청년진로	2
활동정보	2
민감정보	2
개발연구	2
현장전문가	2
개발하고자투자	2
일해야	2
투자유치하고	2
디지털마케팅	2
기업활동	2
신기술	2
재정	2
포탈	2
실현설립	2
상상공장	2
자격	2
샵솔	2
까다	2
멜리	2
병행	2
설비	2
이해하고실행	2
임원	2
벌로컬	2
있는서비스	2
첨단기술	2
학생독립	2
도착	2
성실하고	2
불투명하고	2
사회경험	2
유동적	2
기업안내	2
보장하고	2
소개동영상	2
방문수거	2
자금유치	2
여러곳	2
주인	2
채용하고	2
오너쉽	2
영양추천	2
업무시간	2
자부	2
공유자원	2
인공지능기반	2
가상발전소플랫폼	2
발전회사	2
자산운용플랫폼	2
공유서비스	2
최적운전	2
에너지시장	2
에너지저장장치	2
판매신청	2
딱딱하고	2
회계프로그램	2
일구어	2
추가매출	2
소비자혁신대상	2
타투	2
암호화페	2
생존여행	2
미래에셋벤처투자	2
상호존중	2
휴가제	2
사생활	2
슬랙	2
사회적가치	2
자랑하고	2
신속	2
건강회복	2
보장해	2
유출	2
놀이문화	2
당구문화	2
제시하는데이터	2
개발진행중	2
스팀잇	2
서비스상용화	2
선호국가	2
미술시장	2
양지	2
영상통신	2
구상하고	2
검수서비스	2
외주분쟁	2
세차예약	2
택시요금부담	2
동승매칭	2
의약품정보	2
제작서비스	2
실행환경	2
분산처리	2
시술정보	2
러시아어	2
역량우리	2
팀웍	2
조직체계	2
큐레이팅	2
머신러닝기술	2
시장가격	2
유리천장	2
자메이크	2
너머	2
시간절약	2
서비스요금	2
아버지	2
라이징	2
플래닝	2
산업기능	2
소개주목	2
외주	2
스펙경쟁	2
로컬친구들	2
외국인친구들	2
교환하고	2
원격근무	2
등록특허	2
출원특허	2
창업기업지원사업	2
혁명분야	2
통합명칭	2
기술포트폴리오	2
특허정보	2
포장음식	2
절감하고	2
시터	2
호출	2
화물차	2
토큰정보	2
먹거리관련	2
육아환경	2
리노베이션	2
외국인친구	2
건강용품	2
오리통역	2
안통	2
현지정보	2
여행가이드시스템	2
카드매출	2
상품구성	2
수업유형	2
평가조작	2
인테리어젠틀맨	2
뷰티플랫폼	2
우리회사	2
서비스지역	2
호텔예약	2
개설하고	2
친구관계	2
프로필페이지	2
통해영어	2
비전가치	2
영어회화	2
동작	2
세탁물	2
꼼꼼하고	2
비용때문	2
전문직군	2
운동화	2
혁신챌린지	2
유통혁신	2
핵심사업	2
안무	2
안무가	2
신곡	2
개발자출신	2
구매문의	2
피치	2
스코어브랜드	2
도달예측	2
관심키워드	2
인프라그룹	2
기업플랫폼	2
국내기업	2
해외업무	2
입점료	2
창업지원대상기업	2
해외식품리뷰	2
세계요리레시피	2
세계문화체험	2
테스트임직원	2
문화이해	2
고소	2
요거트	2
주도아래	1
기업과제	1
스마트컨트랙트	1
조언하고	1
연구기술	1
기반으로대한민국	1
생성학생회비	1
입금	1
입금확인	1
참여인원	1
사용내역	1
장소대여	1
동일지역	1
평균금액	1
결산내역	1
감사학생회	1
운영내역	1
스토리펀딩	1
투표가이드	1
온라인쇼핑	1
투자심사	1
벤처시장	1
택배거래	1
성장시장	1
안전검수	1
한국청년기업가정신재단	1
수출기업	1
대상기업	1
감정근로자	1
기업복지	1
입증하고	1
전문상담	1
직거래기반	1
극복하고자신	1
운영하는동안	1
시스템종이	1
기록형태	1
지원기기	1
개인투자조합	1
미디어센터	1
매칭펀드	1
공동사업	1
투자설명	1
문화예술	1
우수체험	1
해외시장	1
본엔젤스파트너스	1
육성선도	1
과제규모	1
전문연구연구	1
펀딩금액	1
벤처경진대회	1
치료효과	1
환자상태	1
부부세상	1
성취하고	1
영업활동	1
제공누구나	1
서비스상권분석	1
대중음악	1
거래시스템	1
비용효율적	1
주식거래방식	1
시간단축	1
편리하게당신	1
축적하고	1
인간사이	1
기업목적양파	1
고객관계	1
설치가능하고	1
고객소통	1
습관매일	1
스토리카드	1
시험대비	1
가격거품	1
완벽제거	1
기술투자	1
생활환경	1
머신러닝배포	1
제작회사	1
정보공유플랫폼	1
온라인서비스마켓	1
제품선택	1
월경문화	1
월경박람회	1
기부플랫폼	1
여성청소년	1
지원방식	1
산책친구	1
매칭플랫폼	1
마케팅비즈니스	1
영어이름	1
기부사업을	1
자동알람시스템	1
이동반경	1
미래기술	1
정복	1
수천억원	1
연구기관	1
기기회사	1
육성프로그램	1
통합데모데이	1
성공가능성	1
주변장치	1
블라인드엔진	1
외부환경	1
수익창출	1
명확하고	1
기술대상	1
등록번호	1
사업개발	1
고객접점	1
특이하고	1
유통관리	1
운영비용	1
요리소통방법	1
탈바꿈하고	1
성장정보	1
개월챌린지플랫폼	1
수행완료	1
선도벤처연계기술창업지원	1
펀딩대회	1
요리선생님	1
재료관리	1
한국동물병원	1
인재영입	1
상담병원	1
펀드투자	1
운용방식	1
펀드매니저라고	1
운용전문인력	1
편입하고	1
불합리하고	1
무료개설계좌	1
중간판매비용	1
운용전략	1
종합자산관리	1
기업정신	1
모두함께	1
유치금액	1
기술부분	1
선도대학	1
여행플렛폼	1
취미데이	1
컨디션	1
유연출퇴근	1
학교문제	1
감정계좌	1
개발동기	1
직업체험	1
비교우위	1
산업은행	1
수상경력	1
근무조건	1
제주특별	1
제주시청	1
채용절차	1
훈련문장	1
구성회화	1
방식친구	1
생생하고	1
